Séance,Chapitre,Contenu de la séance,Pièce jointe
2026-01-15,"Distance, cercle, disque et médiatrice",Connaître la médiatrice et résoudre des problèmes de distance,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\15.pdf
2026-01-16,"Distance, cercle, disque et médiatrice",Connaître la médiatrice et résoudre des problèmes de distance,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\16.pdf
2026-01-19,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\17.pdf
2026-01-19,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\17.pdf
2026-01-20,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\18.pdf
2026-01-22,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\18.pdf
2026-01-23,,Devoir surveillé,
2026-01-26,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\19.pdf
2026-01-27,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\20.pdf
2026-01-29,Fractions,"Produire des fractions égales, comparer des fractions",C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\21.pdf
2026-02-02,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\22.pdf
2026-02-03,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\23.pdf
2026-02-10,Triangles,Connaître la somme des angles d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\24.pdf
2026-02-12,Triangles,Connaître la somme des angles d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\25.pdf
2026-02-13,Triangles,Construire le cercle circonscrit à un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\26.pdf
2026-03-02,,,
2026-03-02,Programmation,Introduction à la pensée informatique,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\27.pdf
2026-03-05,Les divisions,Effectue une division euclidienne.,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\28.pdf
2026-03-06,,,
2026-03-09,Les divisions,Effectue une division euclidienne,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\29.pdf
2026-03-10,Les divisions,Effectuer une division décimale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\30.pdf
2026-03-12,Les divisions,Effectuer une division décimale.,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\31.pdf
2026-03-13,Les divisions,Calculer avec des durées,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\32.pdf
2026-03-16,Les divisions,Calculer avec des durées,
2026-03-16,Périmètre et aire,Calculer des périmètres dans différentes unités,
