Séance,Chapitre,Contenu de la séance,Pièce jointe
2026-01-19,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\17.pdf
2026-01-19,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\18.pdf
2026-01-20,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\19.pdf
2026-01-22,,Devoir surveillé,
2026-01-22,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\21.pdf
2026-01-26,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\20.pdf
2026-01-27,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\22.pdf
2026-01-27,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\22.pdf
2026-01-29,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\23.pdf
2026-02-02,,,
2026-02-02,,,
2026-02-03,Triangles,Connaître la somme des angles d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\24.pdf
2026-02-05,Triangles,Connaître la somme des angles d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\25.pdf
2026-02-05,Triangles,Construire le cercle circonscrit à un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\26.pdf
